# Avida Dominant Parasite Data
# Mon Feb 19 16:28:36 2024
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 6 
700 8 
800 12 
900 20 
1000 86 
1100 169 
1200 313 
1300 734 
1400 1373 
1500 2236 
1600 2434 
1700 2610 
1800 2382 
1900 2194 
2000 1953 
2100 1663 
2200 1336 
2300 1000 
2400 571 
2500 423 
2600 291 
2700 317 
2800 423 
2900 563 
3000 813 
3100 892 
3200 802 
3300 703 
3400 707 
3500 747 
3600 835 
3700 1000 
3800 1046 
3900 1147 
4000 1128 
4100 956 
4200 672 
4300 395 
4400 242 
4500 181 
4600 267 
4700 387 
4800 605 
4900 877 
5000 903 
