,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,2.3333333333333335
7,1.0
8,1.0
9,1.2
10,1.1744186046511629
11,1.0828402366863905
12,1.0862619808306708
13,1.125340599455041
14,1.0604515659140568
15,1.0465116279069766
16,1.0525883319638456
17,1.0417624521072797
18,1.0642317380352644
19,1.0533272561531448
20,1.07731694828469
21,1.0883944678292243
22,1.062125748502994
23,1.082
24,1.0823117338003503
25,0.8179775280898877
26,0.9385245901639344
27,0.9813842482100238
28,1.0315420560747661
29,1.0473094980137236
30,1.0405875531503672
31,1.0386247877758914
32,1.0590909090909093
33,1.05
34,1.0560253699788584
35,1.067938021454112
36,1.0588972431077694
37,1.1140939597315436
38,1.1369047619047619
39,1.1152416356877322
40,1.1777003484320558
41,1.0875706214689265
42,1.0853658536585367
43,1.065130260521042
44,1.0651340996168583
45,1.0788617886178862
46,1.083086053412463
47,1.0735981308411215
48,1.1204343534057255
49,1.0719754977029097
50,0.0
