# Avida Dominant Parasite Data
# Thu Feb  8 22:12:21 2024
#  1: Update
#  2: Number of Extant Parasites

0 2125 
100 2243 
200 2920 
300 3327 
400 2178 
500 2133 
600 1900 
700 1803 
800 1683 
900 1735 
1000 1763 
1100 1803 
1200 1817 
1300 1802 
1400 1714 
1500 1715 
1600 1711 
1700 1801 
1800 1798 
1900 1741 
2000 1693 
2100 1598 
2200 1537 
2300 1611 
2400 2000 
2500 2273 
2600 2409 
2700 2389 
2800 2247 
2900 2090 
3000 1919 
3100 1862 
3200 1681 
3300 1600 
3400 1547 
3500 1725 
3600 2018 
3700 2132 
3800 2042 
3900 1828 
4000 1627 
4100 1736 
4200 1962 
4300 2173 
4400 2012 
4500 1858 
4600 1818 
4700 1920 
4800 1972 
4900 2071 
5000 2084 
