# Avida Dominant Parasite Data
# Thu Feb  8 23:28:51 2024
#  1: Update
#  2: Number of Extant Parasites

0 2002 
100 2068 
200 2972 
300 3414 
400 2298 
500 2198 
600 1930 
700 1790 
800 1674 
900 1574 
1000 1603 
1100 1619 
1200 1643 
1300 1688 
1400 1681 
1500 1629 
1600 1644 
1700 1651 
1800 1646 
1900 1566 
2000 1572 
2100 1625 
2200 1718 
2300 1767 
2400 1800 
2500 1802 
2600 1742 
2700 1821 
2800 1703 
2900 1470 
3000 1283 
3100 878 
3200 1306 
3300 2294 
3400 2420 
3500 2154 
3600 1926 
3700 2033 
3800 2142 
3900 2178 
4000 2082 
4100 2099 
4200 2127 
4300 2160 
4400 2192 
4500 2126 
4600 2053 
4700 1987 
4800 1949 
4900 2017 
5000 2091 
