# Avida Average Data
# Thu Feb  8 21:52:42 2024
#  1: Update
#  2: Merit
#  3: Gestation Time
#  4: Fitness
#  5: Repro Rate?
#  6: (deprecated) Size
#  7: Copied Size
#  8: Executed Size
#  9: (deprecated) Abundance
# 10: Proportion of organisms that gave birth in this update
# 11: Proportion of Breed True Organisms
# 12: (deprecated) Genotype Depth
# 13: Generation
# 14: Neutral Metric
# 15: Lineage Label
# 16: True Replication Rate (based on births/update, time-averaged)

4000 312.344 2481.05 0.150268 0 0 320.088 312.344 0 0.0110945 0.00809595 0 47.4174 -4.3388 0 0.0575195 
4100 312.225 2335.82 0.153194 0 0 320.08 312.225 0 0.00295946 0.00236756 0 48.9405 -4.42815 0 0.0614534 
4200 312.268 2332.85 0.151964 0 0 320.066 312.268 0 0.00996483 0.00937866 0 50.4115 -4.95592 0 0.0651243 
4300 312.556 2456.39 0.148635 0 0 320.02 312.556 0 0.00467836 0.00438596 0 52.0094 -5.70065 0 0.0671016 
4400 312.825 2572.79 0.14644 0 0 319.948 312.825 0 0.00909091 0.00733138 0 53.5985 -6.63696 0 0.065823 
4500 313.004 2640.25 0.145169 0 0 319.934 313.004 0 0.00413956 0.00325251 0 55.0006 -7.23987 0 0.0621175 
4600 313.078 2701.86 0.143586 0 0 319.872 313.078 0 0.00447227 0.00327967 0 56.6219 -7.87133 0 0.0588403 
4700 313.161 2780.71 0.141538 0 0 319.83 313.161 0 0.00564972 0.00475766 0 57.9334 -8.25082 0 0.0566581 
4800 313.143 2749.3 0.141977 0 0 319.792 313.143 0 0.0041866 0.00328947 0 59.349 -8.87495 0 0.0556492 
4900 313.263 2894.32 0.138601 0 0 319.754 313.263 0 0.00660859 0.00570742 0 60.5515 -9.16521 0 0.0537041 
5000 313.248 2945.53 0.137555 0 0 319.747 313.248 0 0.00790274 0.00577508 0 61.455 -9.16927 0 0.0522308 
