# Avida tasks data
# Thu Feb 22 13:55:01 2024
# First column gives the current update, next columns give the number
# of Parasites that have the particular task
#  1: Update
#  2: Not
#  3: Nand
#  4: And
#  5: OrNot
#  6: Or
#  7: AndNot
#  8: Nor
#  9: Xor
# 10: Equals

0 0 0 0 0 0 0 0 0 0 
100 61 563 546 8 0 0 0 0 0 
200 180 304 255 3 0 0 0 0 0 
300 968 506 278 5 0 2 0 0 0 
400 2100 679 247 7 0 4 0 0 0 
500 2861 900 332 12 0 6 0 0 0 
600 2906 878 288 16 0 9 0 0 0 
700 2684 804 240 18 0 12 0 0 0 
800 2440 757 226 24 0 16 0 0 0 
900 2274 705 239 18 0 10 0 0 0 
1000 2126 663 206 10 0 10 0 0 0 
1100 2053 633 179 17 0 17 0 0 0 
1200 1915 581 149 21 0 16 0 0 0 
1300 1936 607 139 26 0 21 0 0 0 
1400 2072 653 119 36 0 13 0 0 0 
1500 2160 712 145 36 0 13 0 0 0 
1600 2179 701 138 32 0 21 0 0 0 
1700 2147 649 130 37 0 27 0 0 0 
1800 2106 687 127 40 0 21 0 0 0 
1900 2047 678 109 30 0 23 0 0 0 
2000 2034 714 87 41 0 20 0 0 0 
2100 2026 766 70 38 0 21 0 0 0 
2200 1972 834 69 38 0 18 0 0 0 
2300 1906 983 69 62 0 30 0 0 0 
2400 1895 1142 85 76 0 25 0 0 0 
2500 1765 1274 112 89 0 14 0 0 0 
2600 1621 1372 203 88 0 7 0 0 0 
2700 1503 1372 328 93 0 2 0 0 0 
2800 1335 1370 585 85 0 5 0 0 0 
2900 1566 1725 1101 84 0 9 0 0 0 
3000 1764 2024 1526 94 0 2 0 0 0 
3100 1970 2292 1902 115 0 4 0 0 0 
3200 1689 2063 1801 160 0 6 0 0 0 
3300 1359 1770 1567 275 0 4 0 0 0 
3400 924 1489 1301 526 0 1 0 0 0 
3500 706 1567 1309 904 0 0 0 0 0 
3600 646 1973 1618 1545 0 2 0 0 0 
3700 523 1962 1588 1740 0 7 0 0 0 
3800 511 1902 1508 1777 0 16 0 0 0 
3900 429 1384 1054 1377 0 27 0 0 0 
4000 341 856 634 900 0 60 0 0 0 
4100 366 605 373 773 0 187 0 0 0 
4200 414 410 200 718 1 388 1 0 0 
4300 744 523 143 1220 0 954 0 0 0 
4400 1021 589 99 1591 0 1371 0 0 0 
4500 1289 617 93 1904 0 1692 0 0 0 
4600 1248 502 67 1722 0 1566 0 0 0 
4700 972 392 89 1309 1 1154 1 0 0 
4800 547 322 181 806 0 656 0 0 0 
4900 337 451 387 597 0 341 0 0 0 
5000 285 851 815 716 0 235 0 0 0 
