# Avida Dominant Parasite Data
# Thu Feb  8 22:55:50 2024
#  1: Update
#  2: Number of Extant Parasites

0 1714 
100 2045 
200 3136 
300 3426 
400 2278 
500 1983 
600 1793 
700 1712 
800 1628 
900 1619 
1000 1688 
1100 1724 
1200 1745 
1300 1774 
1400 1718 
1500 1721 
1600 1736 
1700 1695 
1800 1671 
1900 1759 
2000 1706 
2100 1757 
2200 1705 
2300 1750 
2400 1694 
2500 1634 
2600 1689 
2700 1695 
2800 1697 
2900 1658 
3000 1706 
3100 1687 
3200 1679 
3300 1689 
3400 1702 
3500 1710 
3600 1663 
3700 1645 
3800 1621 
3900 1668 
4000 1680 
4100 1703 
4200 1696 
4300 1844 
4400 1970 
4500 1951 
4600 1872 
4700 1819 
4800 1675 
4900 1342 
5000 999 
